user_id,timestamp,system_name,login_type,login_success_flag,is_second_factor,ip_address,device_type,is_suspicious
user_23,2018-01-08T09:07:00,ehr_system,password,0,1,192.168.140.45,laptop,0
user_24,2014-02-21T08:49:00,ehr_system,password,1,0,172.28.133.81,mobile,0
user_25,2009-01-17T14:17:00,genomics_pipeline,sso,1,0,172.31.196.46,mobile,0
user_26,2021-01-17T07:23:00,lab_portal,sso,1,1,192.168.193.9,desktop,0
user_27,2007-02-03T17:15:00,lab_portal,sso,1,1,10.241.250.108,mobile,0
user_28,2008-02-25T14:37:00,ehr_system,sso,0,1,192.168.118.247,mobile,0
user_29,2017-03-05T22:27:00,admin_console,sso,0,0,192.168.117.64,mobile,0
user_30,2018-02-18T05:59:00,lab_portal,token,1,0,10.223.238.176,mobile,0
user_31,2004-01-14T12:17:00,admin_console,password,1,1,172.20.25.62,desktop,0
user_32,2006-02-24T19:53:00,lab_portal,password,1,0,192.168.85.58,mobile,0
user_33,2004-01-29T07:17:00,admin_console,password,1,1,172.16.204.160,laptop,0
user_34,2018-02-20T06:49:00,genomics_pipeline,password,1,1,10.104.98.254,laptop,0
user_35,2012-02-15T14:57:00,admin_console,sso,1,0,192.168.148.239,mobile,0
user_36,2010-03-05T22:53:00,genomics_pipeline,password,1,1,172.21.219.208,mobile,0
user_37,2004-01-23T15:26:00,genomics_pipeline,token,0,1,192.168.94.132,laptop,0
user_38,2016-01-09T00:14:00,admin_console,token,0,0,10.2.180.22,laptop,0
user_39,2008-01-29T01:17:00,genomics_pipeline,password,1,1,192.168.52.164,desktop,0
user_40,2023-03-05T11:07:00,ehr_system,password,1,0,10.201.82.144,laptop,0
user_41,2008-03-03T08:52:00,genomics_pipeline,token,1,1,192.168.77.200,laptop,0
user_42,2016-01-17T21:00:00,lab_portal,token,1,0,10.0.50.172,mobile,0
user_43,2018-02-27T11:58:00,admin_console,sso,1,1,192.168.3.189,laptop,0
user_44,2021-03-02T06:47:00,ehr_system,token,1,0,192.168.112.231,desktop,0
user_45,2013-01-27T10:04:00,admin_console,sso,1,0,10.91.94.71,laptop,0
user_46,2015-02-12T12:28:00,lab_portal,sso,1,1,172.25.249.161,mobile,0
user_47,2001-02-04T00:24:00,lab_portal,sso,1,0,10.117.2.122,mobile,0
user_48,2007-01-02T18:48:00,lab_portal,sso,1,0,10.11.192.53,laptop,0
user_49,2001-02-16T22:03:00,genomics_pipeline,sso,0,1,192.168.221.221,mobile,0
user_50,2008-02-03T11:10:00,genomics_pipeline,password,0,1,172.24.144.111,desktop,0
user_51,2011-03-02T18:58:00,admin_console,token,1,0,172.30.150.206,desktop,0
user_52,2017-01-24T00:39:00,admin_console,sso,1,0,192.168.84.141,laptop,0
user_53,2003-02-12T22:58:00,ehr_system,token,1,0,10.74.178.102,laptop,0
user_54,2001-01-09T19:06:00,ehr_system,token,1,0,10.191.251.225,laptop,0
user_55,2005-01-03T11:21:00,admin_console,sso,1,0,10.49.97.81,mobile,0
user_56,2007-02-14T19:05:00,genomics_pipeline,password,1,0,10.78.90.178,desktop,0
user_57,2009-02-06T06:51:00,lab_portal,sso,1,1,172.17.51.248,desktop,0
user_58,2007-01-06T19:52:00,admin_console,password,1,1,10.224.215.78,mobile,0
user_59,2008-02-24T14:03:00,ehr_system,token,1,1,10.246.105.50,desktop,0
user_60,2002-02-06T06:56:00,genomics_pipeline,password,1,0,192.168.132.28,laptop,0
user_61,2016-01-25T11:02:00,admin_console,password,1,0,10.183.144.73,laptop,0
user_62,2005-03-08T21:54:00,admin_console,password,1,0,192.168.251.83,laptop,0
user_63,2012-02-13T23:35:00,genomics_pipeline,token,1,0,192.168.33.5,desktop,0
user_64,2022-01-18T00:58:00,admin_console,token,1,0,192.168.193.204,laptop,0
user_65,2003-02-19T00:32:00,genomics_pipeline,password,1,1,10.234.42.239,mobile,0
user_66,2003-01-06T15:10:00,lab_portal,password,1,0,172.18.110.248,mobile,0
user_67,2014-01-19T22:26:00,genomics_pipeline,sso,1,0,172.22.79.94,desktop,0
user_68,2001-02-27T14:28:00,genomics_pipeline,password,1,0,172.21.143.7,mobile,0
user_69,2023-01-05T19:10:00,genomics_pipeline,sso,1,1,192.168.194.95,mobile,0
user_70,2014-03-05T04:22:00,admin_console,password,0,0,172.26.92.159,desktop,0
user_71,2009-01-01T03:26:00,admin_console,sso,1,0,10.60.121.50,laptop,0
user_72,2015-03-03T00:57:00,genomics_pipeline,token,0,0,172.20.4.209,laptop,0
user_73,2010-01-17T06:19:00,admin_console,password,0,1,10.60.21.148,laptop,0
user_74,2013-02-04T17:35:00,ehr_system,password,1,0,10.0.132.232,desktop,0
user_75,2007-02-07T16:28:00,ehr_system,password,1,1,10.45.33.176,mobile,0
user_76,2004-01-13T14:21:00,admin_console,password,1,1,10.217.44.154,laptop,0
user_77,2005-02-19T22:30:00,admin_console,sso,0,0,192.168.25.248,laptop,0
user_78,2013-02-16T16:14:00,genomics_pipeline,password,1,0,172.24.213.238,desktop,0
user_79,2011-01-24T11:47:00,lab_portal,token,1,1,10.106.62.47,laptop,0
user_80,2013-02-13T11:43:00,admin_console,token,1,0,192.168.80.25,desktop,0
user_81,2007-02-22T09:30:00,ehr_system,password,1,0,192.168.7.112,mobile,0
user_82,2019-01-16T11:39:00,genomics_pipeline,token,1,1,172.28.179.206,desktop,0
user_83,2002-02-14T11:24:00,admin_console,password,1,1,172.30.55.213,desktop,0
user_84,2021-01-02T20:53:00,ehr_system,password,1,1,10.217.27.214,desktop,0
user_85,2012-02-18T00:43:00,ehr_system,token,0,1,10.215.129.108,desktop,0
user_86,2020-02-03T23:25:00,lab_portal,password,1,0,10.13.186.55,mobile,0
user_87,2011-01-13T12:47:00,genomics_pipeline,token,1,0,172.22.2.110,mobile,0
user_88,2023-01-11T21:47:00,genomics_pipeline,sso,1,1,172.29.106.238,laptop,0
user_89,2007-01-17T12:16:00,lab_portal,password,1,0,192.168.17.249,mobile,0
user_90,2001-02-16T10:02:00,lab_portal,sso,1,0,10.226.114.14,mobile,1
user_91,2020-02-08T04:56:00,genomics_pipeline,token,1,1,192.168.118.228,laptop,0
user_92,2003-02-10T07:33:00,genomics_pipeline,sso,0,0,10.38.184.16,mobile,0
user_93,2008-01-04T20:10:00,admin_console,sso,1,0,172.21.217.125,desktop,0
user_94,2009-01-03T14:28:00,admin_console,token,0,0,192.168.144.12,desktop,0
user_95,2001-03-10T02:58:00,lab_portal,sso,1,0,192.168.67.137,laptop,0
user_96,2010-02-15T23:19:00,admin_console,sso,1,0,172.24.108.145,laptop,0
user_97,2015-02-21T01:30:00,ehr_system,token,1,0,172.19.110.213,laptop,0
user_98,2022-02-12T10:07:00,admin_console,sso,1,0,10.110.7.167,desktop,0
user_99,2009-02-07T18:24:00,admin_console,token,1,0,192.168.235.82,mobile,0
